Line,Component,MTBF,λ,cp,cc,PM_duration,x*,CR
1,1,44.60661122114841,2.305,14.03,9.63,1.1773141616820137,14.9,0.7107
1,2,106.91194854401768,1.6444,15.01,14.11,0.5445703974379019,25.84,0.5325
1,3,141.91490157121655,2.213,10.79,20.43,0.38084337548693825,41.77,0.2466
1,4,76.23677586363995,1.6838,12.32,12.2,0.7430085614940497,22.65,0.4805
1,5,91.84334484620621,1.9202,10.09,11.26,0.9227587426548817,21.31,0.4164
1,6,147.13879006256082,2.42,15.56,16.73,0.4357646543263688,51.28,0.2946
1,7,111.72583679047386,1.5866,16.15,11.49,0.846221717100181,39.81,0.3735
1,8,99.35894724903409,1.954,15.76,23.75,0.45985269250310684,43.87,0.346
1,9,34.25291938983049,1.752,18.72,17.89,1.068950277616996,10.01,1.2796
1,10,101.15424592179916,2.0233,11.94,13.5,0.25,45.43,0.2583
1,11,181.28956735327256,2.2641,10.55,10.65,0.32979527118484525,46.36,0.2208
1,12,86.78032921028331,2.0017,11.7,10.1,0.8913724694702477,25.19,0.405
1,13,136.37177239786766,1.6717,20.39,20.29,1.1186114824111935,48.08,0.3908
1,14,46.408962177336704,2.1658,19.59,20.94,0.7243373094112112,12.16,1.3148
1,15,30.687188137240263,1.9498,21.91,23.17,0.9779286069576026,7.96,1.8568
1,16,64.20546693176317,2.3986,20.29,23.0,1.2695457168409185,30.93,0.5725
1,17,75.43050001329274,1.6783,16.27,13.51,0.35437685553814885,18.75,0.8078
1,18,43.50952517799735,2.0723,15.2,24.35,0.7718884610242647,22.7,0.6068
1,19,63.26995230221176,2.2444,11.95,12.6,0.25,20.3,0.5618
1,20,17.599100476671072,1.6317,19.51,18.4,1.0028972393015283,7.62,1.6326
1,21,137.3810316847281,1.7332,14.64,16.77,1.2113525565512084,38.63,0.3405
1,22,68.32142740559082,2.0435,21.85,21.59,0.25,26.57,0.8042
1,23,123.9685797081756,2.2409,15.33,19.69,0.7501113526518796,36.48,0.3845
1,24,124.09629050794712,1.879,16.89,26.33,0.4962278820881588,46.56,0.3501
1,25,106.88462771444372,2.4033,13.48,22.07,0.25,46.9,0.2831
1,26,107.35488342587543,1.5893,13.46,13.87,0.7098782864201699,22.62,0.5395
1,27,110.39064272737599,1.9277,11.34,6.97,0.7995035619712582,59.63,0.1808
1,28,158.49556533962016,1.9596,24.0,20.13,0.35720753825517454,50.45,0.4637
2,29,187.5730294094468,1.5038,24.08,19.87,0.3215037723249909,58.45,0.4025
2,30,191.48184506060335,1.9771,20.19,22.14,1.2744450067334432,50.33,0.3651
2,31,40.730054992197644,2.0579,11.3,9.45,0.4239574160398137,22.8,0.4612
2,32,105.37790354941198,2.4992,14.21,10.36,0.37402601292479387,32.95,0.4112
2,33,120.76288577532603,2.4058,13.48,18.11,1.2954693770109773,40.9,0.2945
2,34,172.62486341082288,2.1361,16.45,16.61,0.266875266130433,51.74,0.3117
2,35,126.10622091301535,1.5547,17.23,14.44,0.3932505665148679,64.85,0.258
2,36,131.80710489870273,2.4387,22.76,23.54,1.0365929061370782,48.83,0.4302
2,37,78.15865171859777,1.8169,14.28,18.78,0.6142455419723666,22.08,0.5817
2,38,78.38115663090322,1.5571,13.29,11.32,0.25,37.52,0.347
2,39,117.53355066148171,1.9263,14.75,17.17,0.564185306890541,36.56,0.3841
2,40,107.16240669683529,1.9771,13.53,22.41,0.25,52.62,0.2529
2,41,113.7192269079572,2.0203,24.49,25.17,1.5889464346230653,27.25,0.7622
2,42,34.11387769897174,2.1761,23.97,22.55,0.4584065193507669,18.63,1.1524
2,43,185.71411435390107,1.6565,19.29,21.07,0.6682208118827603,63.69,0.2937
2,44,46.83169392583584,1.6212,23.64,21.55,0.25,13.08,1.7205
2,45,137.41537965806137,1.5717,23.97,32.22,0.37512364466852033,30.32,0.7573
2,46,79.57372660069608,2.128,23.64,26.22,0.38761088830013846,25.96,0.859
2,47,131.14480137718346,1.5777,14.55,10.81,0.8481260806102198,59.43,0.2339
2,48,135.96855126489135,2.0031,19.3,20.29,0.25,56.14,0.3399
2,49,40.490782656175874,1.6911,13.98,17.63,0.9793374890895153,13.74,0.7925
2,50,106.1509643055122,2.4432,13.1,9.15,1.2546325110539678,30.19,0.3757
2,51,111.62578837069752,2.4008,15.75,17.02,1.3580864130329429,33.44,0.4133
2,52,9.050104548189994,1.8201,13.45,8.71,0.7136395579806752,4.44,2.0105
2,53,45.912519880001966,1.5523,22.03,27.89,0.3523168309528203,18.07,1.1344
2,54,163.95017579617362,1.7006,14.38,12.04,0.3221139044366538,68.42,0.2063
2,55,149.23374134241087,1.9119,10.73,9.69,1.1602116085562333,40.24,0.2388
2,56,17.926772244755092,1.903,20.47,25.03,0.8876155644734006,5.21,2.397
3,57,103.89835741888103,1.6288,17.13,17.49,1.4102916971359556,27.9,0.5247
3,58,48.55105470450401,2.312,20.1,19.06,0.7361675753663905,23.61,0.7184
3,59,39.020738748355726,1.7287,10.3,16.09,0.9095609122217344,11.39,0.6507
3,60,10.172694106272385,2.3194,18.11,25.73,0.42431019285110017,5.2,2.5293
3,61,126.05042341755382,1.8997,19.63,15.52,1.2087970988623402,38.39,0.4547
3,62,93.870633414973,2.1605,12.98,15.47,0.7035221207569876,23.44,0.5006
3,63,135.61644315635522,1.936,22.42,24.73,1.126831458722655,30.38,0.6557
3,64,106.3334506406652,2.4348,22.64,20.65,1.03971066372065,33.65,0.5978
3,65,35.3121701069585,1.5311,13.61,9.19,0.8000487978370698,15.01,0.6888
3,66,111.39911658228174,2.167,15.18,17.49,0.8924237124393499,31.9,0.4161
3,67,137.14074009745352,2.2668,15.65,10.65,0.46888574213452144,45.32,0.3313
3,68,49.071989383773044,1.7505,14.2,12.73,1.1061275763204332,17.95,0.6446
3,69,68.7897561351606,1.5785,21.21,21.93,0.6401135189971335,20.74,0.9352
3,70,154.90459439760247,2.1038,10.6,15.67,0.587300794815382,41.66,0.2395
3,71,105.81298401998335,1.7843,18.8,19.65,0.5824014258136059,37.45,0.4644
3,72,75.33300304022603,2.0377,21.76,21.28,0.6670730305622589,25.05,0.7649
3,73,166.85436400164662,1.8831,10.31,8.72,1.02817882416813,64.74,0.1506
3,74,97.17321321540896,2.4299,17.36,17.98,0.5429866468888719,30.14,0.531
3,75,180.18187787667472,2.4108,17.8,26.03,1.5731814575790912,46.35,0.3485
3,76,93.35631081591792,1.5343,12.32,9.88,0.7960094751558094,36.63,0.314
3,77,112.69511261064974,1.5744,12.74,12.2,0.6552375061410683,39.78,0.3003
3,78,161.2978064295905,1.8356,16.49,16.03,1.098636632267034,36.6,0.4074
3,79,132.0873832339661,2.1186,11.29,12.75,0.4826991479274773,43.7,0.2486
3,80,24.167967788019116,1.8567,22.53,19.19,0.7365715150820071,12.85,1.4161
3,81,11.678316854483112,1.7014,19.2,14.67,1.1923465484668414,3.66,2.2668
3,82,69.98000823191059,2.3815,20.81,26.07,0.5226987910114063,15.52,1.1724
3,83,81.8717886869155,2.4081,10.99,17.57,1.132337389382869,38.33,0.2592
3,84,36.31752806512894,2.034,16.15,11.64,1.3565920506515008,9.9,1.127
4,85,69.74316082668653,2.4451,16.91,20.21,0.48583135877957545,22.05,0.7153
4,86,171.04291309744866,2.3669,20.04,21.66,0.8676130117865446,38.69,0.4782
4,87,105.98644601002887,1.7648,20.8,24.55,1.1581611140046941,46.3,0.408
4,88,150.30280253411206,2.27,24.44,28.6,0.25,43.58,0.5514
4,89,121.2180493091685,1.9618,18.71,24.0,0.33768126176263047,34.74,0.5129
4,90,153.4353297545375,2.2111,22.9,19.74,0.25,38.7,0.5842
4,91,64.73239735634549,2.3868,21.25,19.58,0.45427854101410153,37.16,0.542
4,92,125.15388891845775,1.7105,13.5,13.96,0.7185114249798722,52.25,0.246
4,93,66.64374638905673,2.4222,15.7,14.94,0.6775108495357884,17.17,0.7761
4,94,111.02064441957516,2.0049,22.19,18.11,0.2548034622467692,34.57,0.6223
4,95,175.89222021146895,2.4473,12.03,7.82,0.6258888837741201,65.98,0.177
